
>>> Starting CV for Target: 88c190g_10-4-4-tpcc-nan
    Training model: models_concordance/context_model_exclude_88c190g_10-4-4-tpcc-nan.pth...
Using device: cpu
Epoch 26/50 | Train Loss: 0.0000
Epoch 27/50 | Train Loss: 0.0000
Epoch 28/50 | Train Loss: 0.0000
Epoch 29/50 | Train Loss: 0.0000
Epoch 30/50 | Train Loss: 0.0000
Epoch 31/50 | Train Loss: 0.0000
Epoch 32/50 | Train Loss: 0.0000
Epoch 33/50 | Train Loss: 0.0000
Epoch 34/50 | Train Loss: 0.0000
Epoch 35/50 | Train Loss: 0.0000
Epoch 36/50 | Train Loss: 0.0000
Epoch 37/50 | Train Loss: 0.0000
Epoch 38/50 | Train Loss: 0.0000
Epoch 39/50 | Train Loss: 0.0000
Epoch 40/50 | Train Loss: 0.0000
Epoch 41/50 | Train Loss: 0.0000
Epoch 42/50 | Train Loss: 0.0000
Epoch 43/50 | Train Loss: 0.0000
Epoch 44/50 | Train Loss: 0.0000
Epoch 45/50 | Train Loss: 0.0000
Epoch 46/50 | Train Loss: 0.0000
Epoch 47/50 | Train Loss: 0.0000
Epoch 48/50 | Train Loss: 0.0000
Epoch 49/50 | Train Loss: 0.0000
Epoch 50/50 | Train Loss: 0.0000
    - Predicted ID: 24c32g_64-1000000-4-oltp_read_write_95-0.2
    - Concordance Ratio: 97.61%
    - Tuning TPS Ratio:  94.21%

>>> Starting CV for Target: 88c190g_64-1000000-4-oltp_read_write_95-1.0
    Training model: models_concordance/context_model_exclude_88c190g_64-1000000-4-oltp_read_write_95-1.0.pth...
Using device: cpu
Epoch 1/50 | Train Loss: 0.2661
Epoch 2/50 | Train Loss: 0.0055
Epoch 3/50 | Train Loss: 0.0009
Epoch 4/50 | Train Loss: 0.0005
Epoch 5/50 | Train Loss: 0.0001
Epoch 6/50 | Train Loss: 0.0001
Epoch 7/50 | Train Loss: 0.0001
Epoch 8/50 | Train Loss: 0.0001
Epoch 9/50 | Train Loss: 0.0001
Epoch 10/50 | Train Loss: 0.0001
Epoch 11/50 | Train Loss: 0.0000
Epoch 12/50 | Train Loss: 0.0000
Epoch 13/50 | Train Loss: 0.0001
Epoch 14/50 | Train Loss: 0.0000
Epoch 15/50 | Train Loss: 0.0000
Epoch 16/50 | Train Loss: 0.0000
Epoch 17/50 | Train Loss: 0.0000
Epoch 18/50 | Train Loss: 0.0000
Epoch 19/50 | Train Loss: 0.0001
Epoch 20/50 | Train Loss: 0.0000
Epoch 21/50 | Train Loss: 0.0001
Epoch 22/50 | Train Loss: 0.0000
Epoch 23/50 | Train Loss: 0.0000
Epoch 24/50 | Train Loss: 0.0000
Epoch 25/50 | Train Loss: 0.0000
Epoch 26/50 | Train Loss: 0.0000
Epoch 27/50 | Train Loss: 0.0000
Epoch 28/50 | Train Loss: 0.0000
Epoch 29/50 | Train Loss: 0.0000
Epoch 30/50 | Train Loss: 0.0000
Epoch 31/50 | Train Loss: 0.0000
Epoch 32/50 | Train Loss: 0.0000
Epoch 33/50 | Train Loss: 0.0000
Epoch 34/50 | Train Loss: 0.0000
Epoch 35/50 | Train Loss: 0.0000
Epoch 36/50 | Train Loss: 0.0000
Epoch 37/50 | Train Loss: 0.0000
Epoch 38/50 | Train Loss: 0.0000
Epoch 39/50 | Train Loss: 0.0000
Epoch 40/50 | Train Loss: 0.0000
Epoch 41/50 | Train Loss: 0.0000
Epoch 42/50 | Train Loss: 0.0000
Epoch 43/50 | Train Loss: 0.0000
Epoch 44/50 | Train Loss: 0.0000
Epoch 45/50 | Train Loss: 0.0000
Epoch 46/50 | Train Loss: 0.0000
Epoch 47/50 | Train Loss: 0.0000
Epoch 48/50 | Train Loss: 0.0000
Epoch 49/50 | Train Loss: 0.0000
Epoch 50/50 | Train Loss: 0.0000
    - Predicted ID: 16c24g_64-1000000-4-oltp_read_only-0.6
    - Concordance Ratio: 92.54%
    - Tuning TPS Ratio:  85.67%

========================================
CROSS VALIDATION COMPLETE
Average Concordance Score: 89.24%
Average Tuning TPS Ratio:  88.90%
========================================
